"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","GET /booking/{id} — невалидный формат ID (строка), ожидается 400","","2026-06-08","skipped","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldReturn400ForInvalidIdFormat"
"","1122","DELETE /booking/{id} — без авторизации возвращает 403","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldNotDeleteBookingWithoutToken"
"","1134","POST /booking — успешное создание, данные в ответе совпадают с запросом","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldCreateBookingWithAllFields"
"","2678","PUT /booking/{id} — полное обновление с Basic Auth","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldUpdateBookingWithBasicAuth"
"","0","GET /booking — checkout вне границы, не найдёт","","2026-06-08","skipped","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldNotFindByCheckout"
"","1294","GET /booking/{id} — данные совпадают с созданной бронью","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldGetBookingById"
"","1133","GET /booking — checkin вне границы, не найдёт","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldNotFindByCheckin"
"","1173","GET /booking — комбинированный фильтр firstname + checkin","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldGetBookingsByFirstnameAndCheckin"
"","370","GET /booking/{id} — несуществующий ID возвращает 404","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldReturn404ForNonExistentBooking"
"","1101","PUT /booking/{id} — без авторизации возвращает 403","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldNotUpdateBookingWithoutToken"
"","0","GET /booking — невалидный формат checkout, ожидается 400","","2026-06-08","skipped","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","checkoutInvalidFormat"
"","0","POST /booking — отсутствует обязательное поле firstname, ожидается 400","","2026-06-08","skipped","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldReturn400WhenFirstnameMissing"
"","468","GET /booking — несуществующий firstname возвращает пустой список","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldReturnEmptyListForNonExistentFirstname"
"","369","GET /ping — возвращает 201 Created","","2026-06-08","passed","2026-06-08","","com.booker.controllers.HealthCheckControllerTest","com.booker.controllers.HealthCheckControllerTest","shouldReturn201OnPing"
"","1145","PUT /booking/{id} — полное обновление с токеном","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldUpdateBookingWithToken"
"","0","GET /booking — checkout >= param, найдёт","","2026-06-08","skipped","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldFindByCheckout"
"","1187","GET /booking — без фильтров возвращает непустой список","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldGetAllBookings"
"","0","GET /booking — невалидный формат checkin, ожидается 400","","2026-06-08","skipped","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","checkinInvalidFormat"
"","0","DELETE /booking/{id} — несуществующий ID, ожидается 404","","2026-06-08","skipped","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldNotDeleteNonExistentBooking"
"","1129","PATCH /booking/{id} — обновлённое поле изменилось, остальные не тронуты","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldPartiallyUpdateBooking"
"","1090","PUT /booking/{id} — неполный payload, ожидается 400","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldNotUpdateBookingWithPartialPayload"
"","1140","DELETE /booking/{id} — бронь удалена, GET возвращает 404","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldDeleteBooking"
"","387","POST /auth — невалидные креды возвращают reason Bad credentials","","2026-06-08","passed","2026-06-08","","com.booker.controllers.AuthControllerTest","com.booker.controllers.AuthControllerTest","shouldNotCreateTokenWithInvalidCredentials"
"","1116","GET /booking — фильтр по firstname и lastname возвращает созданную бронь","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldGetBookingsFilteredByName"
"","893","POST /auth — пустое тело возвращает reason Bad credentials","","2026-06-08","passed","2026-06-08","","com.booker.controllers.AuthControllerTest","com.booker.controllers.AuthControllerTest","shouldNotCreateTokenWithEmptyBody"
"","1106","PATCH /booking/{id} — без авторизации возвращает 403","","2026-06-08","passed","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldNotPartiallyUpdateBookingWithoutToken"
"","0","GET /booking — checkin >= param, найдёт","","2026-06-08","skipped","2026-06-08","","com.booker.controllers.BookingControllerTest","com.booker.controllers.BookingControllerTest","shouldFindByCheckin"
"","386","POST /auth — создание токена с валидными кредами","","2026-06-08","passed","2026-06-08","","com.booker.controllers.AuthControllerTest","com.booker.controllers.AuthControllerTest","shouldCreateTokenWithValidCredentials"
